Instituição,Programa,Nível,Sigla,Tem doutorado,Docentes colaboradores,Docentes permanentes,Docentes visitantes,Resumos em conf,Resumos expandidos em conf,Artigos em conf,Dissertacoes,Teses,periodicos_A1,periodicos_A2,periodicos_B1,periodicos_B2,periodicos_B3,periodicos_B4,periodicos_B5,periodicos_C ,periodicos_NA,per_comaluno_A1,per_comaluno_A2,per_comaluno_B1,per_comaluno_B2,per_comaluno_B3,per_comaluno_B4,per_comaluno_B5,per_comaluno_C ,per_comaluno_NA
UNIVERSIDADE FEDERAL DE ALAGOAS,INFORMÁTICA (26001012035P1),3,UFAL,Não,5.75,14.0,0.0,8,18,185,23,NA,22,12,14,1,12,4,3,7,7,5,2,2,1,2,0,0,0,1
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,CIÊNCIA DA COMPUTAÇÃO (27001016029P4),3,UFSE,Não,3.75,17.25,0.5,3,101,124,54,NA,8,4,6,3,0,2,15,26,43,0,0,0,0,0,1,5,13,8
UNIVERSIDADE FEDERAL DA BAHIA,CIÊNCIA DA COMPUTAÇÃO - UFBA - UNIFACS - UEFS (28001010061P1),4,UFBA/UNIFACS/UEFS,SIM,3.0,19.0,0.0,17,58,277,NA,20,7,25,18,2,6,2,6,10,18,3,13,9,1,6,0,2,6,6
UNIVERSIDADE FEDERAL DA BAHIA,CIÊNCIA DA COMPUTAÇÃO - UFBA - UEFS (28001010090P1),3,UFBA/UEFS,Não,0.5,23.25,0.0,14,26,255,41,NA,11,18,16,1,5,2,6,2,4,1,2,0,0,4,1,0,1,1
UNIVERSIDADE FEDERAL DA BAHIA,CIÊNCIA DA COMPUTAÇÃO (28001010095P3),4,UFBA,Sim,3.75,22.0,0.0,19,27,230,8,NA,17,17,17,1,6,2,4,2,14,1,3,1,0,0,1,1,0,2
UNIVERSIDADE SALVADOR,SISTEMAS E COMPUTAÇÃO (28013018005P5),3,UNIFACS,Não,1.25,10.0,0.0,6,6,130,41,NA,2,2,4,0,3,0,5,16,6,0,1,0,0,0,0,0,7,1
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,INFORMÁTICA (30001013007P0),4,UFES,Sim,6.0,22.25,0.0,23,22,336,110,5,23,14,6,2,1,0,2,6,15,12,6,2,1,1,0,2,5,5
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO (31001017004P3),7,UFRJ,Sim,2.0,38.75,0.0,69,75,359,154,87,46,89,59,11,19,4,29,10,24,12,39,21,1,8,0,12,5,12
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,INFORMÁTICA (31001017110P8),4,UFRJ/INF,Sim,2.75,28.25,0.0,46,44,288,101,16,21,46,34,7,10,4,20,16,32,9,9,10,1,4,3,7,8,14
UNIVERSIDADE FEDERAL FLUMINENSE,COMPUTAÇÃO (31003010046P4),5,UFF,Sim,0.0,40.0,0.0,33,48,504,110,56,52,52,34,10,21,3,11,5,16,13,23,15,2,10,2,5,1,4
