repository_language,type,active_repos_by_url,events,year,quarter
Fancy,ForkEvent,1,3,2013,3
Gnuplot,ForkEvent,1,1,2014,2
NetLogo,WatchEvent,1,1,2013,4
Opa,IssuesEvent,1,1,2012,4
Max,WatchEvent,1,1,2013,3
Fancy,IssuesEvent,1,2,2013,3
D,CreateEvent,1,3,2012,1
BlitzBasic,CreateEvent,1,1,2014,3
Ecl,WatchEvent,1,1,2013,4
XProc,ForkEvent,1,1,2013,4
Puppet,ForkEvent,1345,2904,2014,3
CoffeeScript,ForkEvent,2914,9900,2014,3
C++,WatchEvent,17833,100419,2014,3
FORTRAN,ForkEvent,180,374,2014,3
Shell,WatchEvent,12500,64684,2014,2
ActionScript,WatchEvent,1159,4039,2014,2
Ruby,WatchEvent,30485,180468,2014,4
Lua,PushEvent,8123,80183,2014,4
Haxe,PushEvent,1134,11397,2014,4
Prolog,PushEvent,1160,8852,2014,4
